Date,Total_Amount
01-01-2023,154893.75
02-01-2023,143228.24
03-01-2023,170905.52
04-01-2023,186552.23
05-01-2023,117197.17
06-01-2023,116204.2
07-01-2023,158072.76
08-01-2023,173853.39
09-01-2023,176499.28
10-01-2023,169090.81
11-01-2023,162124.3
12-01-2023,115668.4
13-01-2023,144202.05
14-01-2023,186734.34
15-01-2023,181710.19
16-01-2023,131514.69
17-01-2023,176877.73
18-01-2023,148444.61
19-01-2023,167712.92
20-01-2023,180061.97
21-01-2023,210278.61
22-01-2023,177810.13
23-01-2023,146621.46
24-01-2023,199078.37
25-01-2023,96516.85
26-01-2023,156494.05
27-01-2023,167757.05
28-01-2023,133232.37
29-01-2023,149841.59
30-01-2023,114260.25
31-01-2023,178035.12
01-02-2023,152477.51
02-02-2023,132491.98
03-02-2023,184145.96
04-02-2023,126510.25
05-02-2023,137780.89
06-02-2023,124900.4
07-02-2023,187940.46
08-02-2023,173568.32
09-02-2023,135656.97
10-02-2023,152026.09
11-02-2023,132732.08
12-02-2023,142652.63
13-02-2023,147027.85
14-02-2023,182227.71
15-02-2023,148418.05
16-02-2023,138142.47
17-02-2023,162258.21
18-02-2023,180506.21
19-02-2023,166640.44
20-02-2023,202488.75
21-02-2023,117931.89
22-02-2023,186006.2
23-02-2023,162153.17
24-02-2023,194512.34
25-02-2023,191262.88
26-02-2023,152670.48
27-02-2023,110580.76
28-02-2023,173706.35
01-03-2023,165434.16
02-03-2023,161410.11
03-03-2023,147770.1
04-03-2023,164686.83
05-03-2023,109861.89
06-03-2023,120503.67
07-03-2023,147173.13
08-03-2023,168766
09-03-2023,131790.15
10-03-2023,172300.39
11-03-2023,151669.78
12-03-2023,199048.26
13-03-2023,146029.34
14-03-2023,156241.44
15-03-2023,132682.17
16-03-2023,127219.61
17-03-2023,143573.72
18-03-2023,142286.71
19-03-2023,154239.45
20-03-2023,133575.94
21-03-2023,170512.03
22-03-2023,198487.59
23-03-2023,157208.73
24-03-2023,114154.8
25-03-2023,164094.24
26-03-2023,159883.42
27-03-2023,153278.91
28-03-2023,200636.52
29-03-2023,122925.09
30-03-2023,189832.52
31-03-2023,128904.49
01-04-2023,189037.76
02-04-2023,153739.71
03-04-2023,111899.01
04-04-2023,115108.16
05-04-2023,170222.02
06-04-2023,151990.27
07-04-2023,127587.38
08-04-2023,125391.28
09-04-2023,174495.32
10-04-2023,168738.34
11-04-2023,124098.99
12-04-2023,178601.2
13-04-2023,188259.59
14-04-2023,185397.5
15-04-2023,203607.26
16-04-2023,187059.38
17-04-2023,151616.45
18-04-2023,125943.04
19-04-2023,162798.66
20-04-2023,134260.44
21-04-2023,121240.93
22-04-2023,144742.98
23-04-2023,164265.86
24-04-2023,131725.83
25-04-2023,142228.83
26-04-2023,125800.64
27-04-2023,132396.59
28-04-2023,183589.06
29-04-2023,180178.83
30-04-2023,118254.11
01-05-2023,152800.31
02-05-2023,136615.61
03-05-2023,168767.84
04-05-2023,151915.6
05-05-2023,176273.31
06-05-2023,145420.28
07-05-2023,188062.11
08-05-2023,170245
09-05-2023,143266.93
10-05-2023,163022.03
11-05-2023,167433.39
12-05-2023,108349.54
13-05-2023,204188.14
14-05-2023,141725.44
15-05-2023,142599.11
16-05-2023,177146.22
17-05-2023,195428.93
18-05-2023,138876
19-05-2023,127089.08
20-05-2023,157228.81
21-05-2023,213614.67
22-05-2023,147457.4
23-05-2023,126274.99
24-05-2023,155946.45
25-05-2023,129379.82
26-05-2023,160932.61
27-05-2023,134041.4
28-05-2023,127040.97
29-05-2023,151805.81
30-05-2023,183373.96
31-05-2023,125929.03
01-06-2023,166064.07
02-06-2023,130155.21
03-06-2023,154006.51
04-06-2023,134576.63
05-06-2023,153378.5
06-06-2023,198958.07
07-06-2023,118261.68
08-06-2023,143717.52
09-06-2023,199011.17
10-06-2023,153526.69
11-06-2023,211538.24
12-06-2023,143112.69
13-06-2023,143009.79
14-06-2023,160005.9
15-06-2023,168634.08
16-06-2023,221197.47
17-06-2023,178964.93
18-06-2023,166858.21
19-06-2023,158101.09
20-06-2023,186740.82
21-06-2023,162704.33
22-06-2023,187991.66
23-06-2023,163251.87
24-06-2023,127892.81
25-06-2023,131147.11
26-06-2023,146630.38
27-06-2023,88697.72
28-06-2023,168510.36
29-06-2023,190308.13
30-06-2023,116172.99
01-07-2023,174139.93
02-07-2023,155944.8
03-07-2023,153971.63
04-07-2023,167625.9
05-07-2023,146103.71
06-07-2023,123239.19
07-07-2023,173996.04
08-07-2023,128065.71
09-07-2023,148955.71
10-07-2023,175414.71
11-07-2023,166415.67
12-07-2023,126268.85
13-07-2023,157584.73
14-07-2023,180471.15
15-07-2023,88844.18
16-07-2023,137204.3
17-07-2023,165934.38
18-07-2023,143099.43
19-07-2023,205639.09
20-07-2023,150769.68
21-07-2023,174281.9
22-07-2023,168814.87
23-07-2023,135448.11
24-07-2023,136261.11
25-07-2023,117971.34
26-07-2023,210353.06
27-07-2023,165155.09
28-07-2023,142624
29-07-2023,141990.87
30-07-2023,186400.63
31-07-2023,109448.85
01-08-2023,163488.8
02-08-2023,170972.35
03-08-2023,163167
