Date,Total_Amount
2023-01-01,154893.75
2023-01-02,143228.24
2023-01-03,170905.52
2023-01-04,186552.23
2023-01-05,117197.17
2023-01-06,116204.2
2023-01-07,158072.76
2023-01-08,173853.39
2023-01-09,176499.28
2023-01-10,169090.81
2023-01-11,162124.30000000002
2023-01-12,115668.4
2023-01-13,144202.05
2023-01-14,186734.34
2023-01-15,181710.19
2023-01-16,131514.69
2023-01-17,176877.73
2023-01-18,148444.61
2023-01-19,167712.92
2023-01-20,180061.97
2023-01-21,210278.61000000002
2023-01-22,177810.13
2023-01-23,146621.46
2023-01-24,199078.37
2023-01-25,96516.85
2023-01-26,156494.05
2023-01-27,167757.05
2023-01-28,133232.37
2023-01-29,149841.59
2023-01-30,114260.25
2023-01-31,178035.12
2023-02-01,152477.51
2023-02-02,132491.98
2023-02-03,184145.96
2023-02-04,126510.25
2023-02-05,137780.88999999998
2023-02-06,124900.4
2023-02-07,187940.46
2023-02-08,173568.32
2023-02-09,135656.97
2023-02-10,152026.09
2023-02-11,132732.08000000002
2023-02-12,142652.63
2023-02-13,147027.85
2023-02-14,182227.71
2023-02-15,148418.05
2023-02-16,138142.47
2023-02-17,162258.21
2023-02-18,180506.21
2023-02-19,166640.44
2023-02-20,202488.75
2023-02-21,117931.89
2023-02-22,186006.2
2023-02-23,162153.16999999998
2023-02-24,194512.34
2023-02-25,191262.88
2023-02-26,152670.48
2023-02-27,110580.76
2023-02-28,173706.35
2023-03-01,165434.16
2023-03-02,161410.11000000002
2023-03-03,147770.1
2023-03-04,164686.83
2023-03-05,109861.89
2023-03-06,120503.67
2023-03-07,147173.13
2023-03-08,168766.0
2023-03-09,131790.15
2023-03-10,172300.39
2023-03-11,151669.78
2023-03-12,199048.26
2023-03-13,146029.34
2023-03-14,156241.44
2023-03-15,132682.16999999998
2023-03-16,127219.61
2023-03-17,143573.72
2023-03-18,142286.71
2023-03-19,154239.45
2023-03-20,133575.94
2023-03-21,170512.03
2023-03-22,198487.59
2023-03-23,157208.73
2023-03-24,114154.8
2023-03-25,164094.24
2023-03-26,159883.42
2023-03-27,153278.91
2023-03-28,200636.52
2023-03-29,122925.09
2023-03-30,189832.52
2023-03-31,128904.49
2023-04-01,189037.76
2023-04-02,153739.71000000002
2023-04-03,111899.01
2023-04-04,115108.16
2023-04-05,170222.02
2023-04-06,151990.27
2023-04-07,127587.38
2023-04-08,125391.28
2023-04-09,174495.32
2023-04-10,168738.34
2023-04-11,124098.99
2023-04-12,178601.2
2023-04-13,188259.59
2023-04-14,185397.5
2023-04-15,203607.26
2023-04-16,187059.38
2023-04-17,151616.45
2023-04-18,125943.04000000001
2023-04-19,162798.66
2023-04-20,134260.44
2023-04-21,121240.93
2023-04-22,144742.98
2023-04-23,164265.86
2023-04-24,131725.83000000002
2023-04-25,142228.83
2023-04-26,125800.64
2023-04-27,132396.59
2023-04-28,183589.06
2023-04-29,180178.83
2023-04-30,118254.11
2023-05-01,152800.31
2023-05-02,136615.61
2023-05-03,168767.84
2023-05-04,151915.6
2023-05-05,176273.31
2023-05-06,145420.28
2023-05-07,188062.11
2023-05-08,170245.0
2023-05-09,143266.93
2023-05-10,163022.03
2023-05-11,167433.38999999998
2023-05-12,108349.54000000001
2023-05-13,204188.14
2023-05-14,141725.44
2023-05-15,142599.11000000002
2023-05-16,177146.22
2023-05-17,195428.93
2023-05-18,138876.0
2023-05-19,127089.08
2023-05-20,157228.81
2023-05-21,213614.67
2023-05-22,147457.4
2023-05-23,126274.98999999999
2023-05-24,155946.45
2023-05-25,129379.81999999999
2023-05-26,160932.61000000002
2023-05-27,134041.4
2023-05-28,127040.97
2023-05-29,151805.81
2023-05-30,183373.96
2023-05-31,125929.03
2023-06-01,166064.07
2023-06-02,130155.21
2023-06-03,154006.51
2023-06-04,134576.63
2023-06-05,153378.5
2023-06-06,198958.07
2023-06-07,118261.68000000001
2023-06-08,143717.52
2023-06-09,199011.16999999998
2023-06-10,153526.69
2023-06-11,211538.24
2023-06-12,143112.69
2023-06-13,143009.79
2023-06-14,160005.9
2023-06-15,168634.08
2023-06-16,221197.47
2023-06-17,178964.93
2023-06-18,166858.21
2023-06-19,158101.09
2023-06-20,186740.82
2023-06-21,162704.33
2023-06-22,187991.66
2023-06-23,163251.87
2023-06-24,127892.81
2023-06-25,131147.11
2023-06-26,146630.38
2023-06-27,88697.72
2023-06-28,168510.36
2023-06-29,190308.13
2023-06-30,116172.99
2023-07-01,174139.93
2023-07-02,155944.8
2023-07-03,153971.63
2023-07-04,167625.9
2023-07-05,146103.71
2023-07-06,123239.19
2023-07-07,173996.04
2023-07-08,128065.70999999999
2023-07-09,148955.71
2023-07-10,175414.71
2023-07-11,166415.67
2023-07-12,126268.85
2023-07-13,157584.73
2023-07-14,180471.15
2023-07-15,88844.18
2023-07-16,137204.3
2023-07-17,165934.38
2023-07-18,143099.43
2023-07-19,205639.09
2023-07-20,150769.68
2023-07-21,174281.9
2023-07-22,168814.87
2023-07-23,135448.11000000002
2023-07-24,136261.11
