ds,yhat
2024-05-15,159455.10919099694
2024-05-16,157748.46623168042
2024-05-17,155445.63226573385
2024-05-18,161079.29208852237
2024-05-19,156299.35249877747
2024-05-20,152967.67830360914
2024-05-21,155684.91904575334
2024-05-22,159473.38673044718
2024-05-23,157766.7437711258
2024-05-24,155463.9098051852
2024-05-25,161097.56962797485
2024-05-26,156317.63003825134
2024-05-27,152985.95584306383
2024-05-28,155703.19658520422
2024-05-29,159491.6642699055
2024-05-30,157785.02131057682
2024-05-31,155482.1873446419
2024-06-01,161115.84716742908
2024-06-02,156335.90757770016
2024-06-03,153004.2333825206
2024-06-04,155721.4741246709
2024-06-05,159509.94180934876
2024-06-06,157803.29885002782
2024-06-07,155500.46488408363
2024-06-08,161134.12470688327
2024-06-09,156354.18511714472
2024-06-10,153022.5109219706
2024-06-11,155739.75166412175
2024-06-12,159528.21934879894
2024-06-13,157821.57638947884
